code,name,synonym,unit
PCB_nc_69.1,PCB - non combustion - Steel production: basic oxygen furnace,E_PCB_nc_69.1,kg
PCB_nc_69.2,PCB - non combustion - Steel production: electric arc furnace,E_PCB_nc_69.2,kg
PCDD/F_nc_1.1,PCDD/F - non combustion - Agglomeration plant - pellets,E_PCDD/F_nc_1.1,kg
PCDD/F_nc_1.2,PCDD/F - non combustion - Agglomeration plant - sinter,E_PCDD/F_nc_1.2,kg
PCDD/F_nc_50.0,"PCDD/F - non combustion - Pig iron production, blast furnace",E_PCDD/F_nc_50.0,kg
PCDD/F_nc_69.1,PCDD/F - non combustion - Steel production: basic oxygen furnace,E_PCDD/F_nc_69.1,kg
PCDD/F_nc_69.2,PCDD/F - non combustion - Steel production: electric arc furnace,E_PCDD/F_nc_69.2,kg
PM10_nc_1.1,PM10 - non combustion - Agglomeration plant - pellets,E_PM10_nc_1.1,kg
PM10_nc_1.2,PM10 - non combustion - Agglomeration plant - sinter,E_PM10_nc_1.2,kg
PM10_nc_2.0,PM10 - non combustion - Aluminium ores and concentrates (Bauxite),E_PM10_nc_2.0,kg
PM10_nc_4.0,PM10 - non combustion - Bricks production,E_PM10_nc_4.0,kg
PM10_nc_5.0,PM10 - non combustion - Briquettes production,E_PM10_nc_5.0,kg
PM10_nc_6.0,PM10 - non combustion - Carbon black production,E_PM10_nc_6.0,kg
PM10_nc_7.0,PM10 - non combustion - Cast iron production (grey iron foundries),E_PM10_nc_7.0,kg
PM10_nc_8.0,PM10 - non combustion - Cement production,E_PM10_nc_8.0,kg
PM10_nc_9.1,"PM10 - non combustion - Chemical wood pulp, dissolving grades",E_PM10_nc_9.1,kg
PM10_nc_9.2,"PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades",E_PM10_nc_9.2,kg
PM10_nc_9.3,"PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades",E_PM10_nc_9.3,kg
PM10_nc_10.0,PM10 - non combustion - Chromium ores and concentrates,E_PM10_nc_10.0,kg
PM10_nc_12.0,PM10 - non combustion - Copper ores and concentrates,E_PM10_nc_12.0,kg
PM10_nc_22.0,PM10 - non combustion - Fertilizer production (N-fertilizer),E_PM10_nc_22.0,kg
PM10_nc_26.0,PM10 - non combustion - Glass production,E_PM10_nc_26.0,kg
PM10_nc_27.0,PM10 - non combustion - Gold ores and concentrates,E_PM10_nc_27.0,kg
PM10_nc_31.0,PM10 - non combustion - Iron ores and concentrates,E_PM10_nc_31.0,kg
PM10_nc_32.0,PM10 - non combustion - Lead ores and concentrates,E_PM10_nc_32.0,kg
PM10_nc_34.0,PM10 - non combustion - Lime production,E_PM10_nc_34.0,kg
PM10_nc_36.0,PM10 - non combustion - Mining of antracite,E_PM10_nc_36.0,kg
PM10_nc_37.0,PM10 - non combustion - Mining of bituminous coal,E_PM10_nc_37.0,kg
PM10_nc_38.0,PM10 - non combustion - Mining of coking coal,E_PM10_nc_38.0,kg
PM10_nc_39.0,PM10 - non combustion - Mining of lignite (brown coal),E_PM10_nc_39.0,kg
PM10_nc_40.0,PM10 - non combustion - Mining of sub-bituminous coal,E_PM10_nc_40.0,kg
PM10_nc_41.0,PM10 - non combustion - Molybdenum ores and concentrates,E_PM10_nc_41.0,kg
PM10_nc_43.0,PM10 - non combustion - N- fertilizer production,E_PM10_nc_43.0,kg
PM10_nc_44.0,PM10 - non combustion - Nickel ores and concentrates,E_PM10_nc_44.0,kg
PM10_nc_45.0,"PM10 - non combustion - Nickel, unwrought",E_PM10_nc_45.0,kg
PM10_nc_46.0,PM10 - non combustion - Oil refinery,E_PM10_nc_46.0,kg
PM10_nc_50.0,"PM10 - non combustion - Pig iron production, blast furnace",E_PM10_nc_50.0,kg
PM10_nc_51.0,PM10 - non combustion - Platinum ores and concentrates,E_PM10_nc_51.0,kg
PM10_nc_56.0,PM10 - non combustion - Primary aluminium production,E_PM10_nc_56.0,kg
PM10_nc_58.0,PM10 - non combustion - Production of coke oven coke,E_PM10_nc_58.0,kg
PM10_nc_59.0,PM10 - non combustion - Production of gascoke,E_PM10_nc_59.0,kg
PM10_nc_62.0,"PM10 - non combustion - Refined copper; unwrought, not alloyed",E_PM10_nc_62.0,kg
PM10_nc_63.0,"PM10 - non combustion - Refined lead, unwrought",E_PM10_nc_63.0,kg
PM10_nc_66.0,"PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood",E_PM10_nc_66.0,kg
PM10_nc_67.0,PM10 - non combustion - Silver ores and concentrates,E_PM10_nc_67.0,kg
PM10_nc_69.1,PM10 - non combustion - Steel production: basic oxygen furnace,E_PM10_nc_69.1,kg
PM10_nc_69.2,PM10 - non combustion - Steel production: electric arc furnace,E_PM10_nc_69.2,kg
PM10_nc_69.3,PM10 - non combustion - Steel production: open hearth furnace,E_PM10_nc_69.3,kg
PM10_nc_72.0,PM10 - non combustion - Tin ores and concentrates,E_PM10_nc_72.0,kg
PM10_nc_74.0,PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_PM10_nc_74.0,kg
PM10_nc_77.0,PM10 - non combustion - Zinc ores and concentrates,E_PM10_nc_77.0,kg
PM10_nc_78.0,"PM10 - non combustion - Zinc, unwrought, not alloyed",E_PM10_nc_78.0,kg
PM2.5_nc_1.1,PM2.5 - non combustion - Agglomeration plant - pellets,E_PM2.5_nc_1.1,kg
PM2.5_nc_1.2,PM2.5 - non combustion - Agglomeration plant - sinter,E_PM2.5_nc_1.2,kg
PM2.5_nc_2.0,PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite),E_PM2.5_nc_2.0,kg
PM2.5_nc_4.0,PM2.5 - non combustion - Bricks production,E_PM2.5_nc_4.0,kg
PM2.5_nc_5.0,PM2.5 - non combustion - Briquettes production,E_PM2.5_nc_5.0,kg
PM2.5_nc_6.0,PM2.5 - non combustion - Carbon black production,E_PM2.5_nc_6.0,kg
PM2.5_nc_7.0,PM2.5 - non combustion - Cast iron production (grey iron foundries),E_PM2.5_nc_7.0,kg
PM2.5_nc_8.0,PM2.5 - non combustion - Cement production,E_PM2.5_nc_8.0,kg
PM2.5_nc_9.1,"PM2.5 - non combustion - Chemical wood pulp, dissolving grades",E_PM2.5_nc_9.1,kg
PM2.5_nc_9.2,"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades",E_PM2.5_nc_9.2,kg
PM2.5_nc_9.3,"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades",E_PM2.5_nc_9.3,kg
PM2.5_nc_10.0,PM2.5 - non combustion - Chromium ores and concentrates,E_PM2.5_nc_10.0,kg
PM2.5_nc_12.0,PM2.5 - non combustion - Copper ores and concentrates,E_PM2.5_nc_12.0,kg
PM2.5_nc_22.0,PM2.5 - non combustion - Fertilizer production (N-fertilizer),E_PM2.5_nc_22.0,kg
PM2.5_nc_26.0,PM2.5 - non combustion - Glass production,E_PM2.5_nc_26.0,kg
PM2.5_nc_27.0,PM2.5 - non combustion - Gold ores and concentrates,E_PM2.5_nc_27.0,kg
PM2.5_nc_31.0,PM2.5 - non combustion - Iron ores and concentrates,E_PM2.5_nc_31.0,kg
PM2.5_nc_32.0,PM2.5 - non combustion - Lead ores and concentrates,E_PM2.5_nc_32.0,kg
PM2.5_nc_34.0,PM2.5 - non combustion - Lime production,E_PM2.5_nc_34.0,kg
PM2.5_nc_36.0,PM2.5 - non combustion - Mining of antracite,E_PM2.5_nc_36.0,kg
PM2.5_nc_37.0,PM2.5 - non combustion - Mining of bituminous coal,E_PM2.5_nc_37.0,kg
PM2.5_nc_38.0,PM2.5 - non combustion - Mining of coking coal,E_PM2.5_nc_38.0,kg
PM2.5_nc_39.0,PM2.5 - non combustion - Mining of lignite (brown coal),E_PM2.5_nc_39.0,kg
PM2.5_nc_40.0,PM2.5 - non combustion - Mining of sub-bituminous coal,E_PM2.5_nc_40.0,kg
PM2.5_nc_41.0,PM2.5 - non combustion - Molybdenum ores and concentrates,E_PM2.5_nc_41.0,kg
PM2.5_nc_43.0,PM2.5 - non combustion - N- fertilizer production,E_PM2.5_nc_43.0,kg
PM2.5_nc_44.0,PM2.5 - non combustion - Nickel ores and concentrates,E_PM2.5_nc_44.0,kg
PM2.5_nc_45.0,"PM2.5 - non combustion - Nickel, unwrought",E_PM2.5_nc_45.0,kg
PM2.5_nc_46.0,PM2.5 - non combustion - Oil refinery,E_PM2.5_nc_46.0,kg
PM2.5_nc_50.0,"PM2.5 - non combustion - Pig iron production, blast furnace",E_PM2.5_nc_50.0,kg
PM2.5_nc_51.0,PM2.5 - non combustion - Platinum ores and concentrates,E_PM2.5_nc_51.0,kg
PM2.5_nc_56.0,PM2.5 - non combustion - Primary aluminium production,E_PM2.5_nc_56.0,kg
PM2.5_nc_58.0,PM2.5 - non combustion - Production of coke oven coke,E_PM2.5_nc_58.0,kg
PM2.5_nc_59.0,PM2.5 - non combustion - Production of gascoke,E_PM2.5_nc_59.0,kg
PM2.5_nc_62.0,"PM2.5 - non combustion - Refined copper; unwrought, not alloyed",E_PM2.5_nc_62.0,kg
PM2.5_nc_63.0,"PM2.5 - non combustion - Refined lead, unwrought",E_PM2.5_nc_63.0,kg
PM2.5_nc_66.0,"PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood",E_PM2.5_nc_66.0,kg
PM2.5_nc_67.0,PM2.5 - non combustion - Silver ores and concentrates,E_PM2.5_nc_67.0,kg
PM2.5_nc_69.1,PM2.5 - non combustion - Steel production: basic oxygen furnace,E_PM2.5_nc_69.1,kg
PM2.5_nc_69.2,PM2.5 - non combustion - Steel production: electric arc furnace,E_PM2.5_nc_69.2,kg
PM2.5_nc_69.3,PM2.5 - non combustion - Steel production: open hearth furnace,E_PM2.5_nc_69.3,kg
PM2.5_nc_72.0,PM2.5 - non combustion - Tin ores and concentrates,E_PM2.5_nc_72.0,kg
PM2.5_nc_74.0,PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_PM2.5_nc_74.0,kg
PM2.5_nc_77.0,PM2.5 - non combustion - Zinc ores and concentrates,E_PM2.5_nc_77.0,kg
PM2.5_nc_78.0,"PM2.5 - non combustion - Zinc, unwrought, not alloyed",E_PM2.5_nc_78.0,kg
Pb_nc_1.1,Pb - non combustion - Agglomeration plant - pellets,E_Pb_nc_1.1,kg
Pb_nc_1.2,Pb - non combustion - Agglomeration plant - sinter,E_Pb_nc_1.2,kg
Pb_nc_26.0,Pb - non combustion - Glass production,E_Pb_nc_26.0,kg
Pb_nc_45.0,"Pb - non combustion - Nickel, unwrought",E_Pb_nc_45.0,kg
Pb_nc_50.0,"Pb - non combustion - Pig iron production, blast furnace",E_Pb_nc_50.0,kg
Pb_nc_58.0,Pb - non combustion - Production of coke oven coke,E_Pb_nc_58.0,kg
Pb_nc_59.0,Pb - non combustion - Production of gascoke,E_Pb_nc_59.0,kg
Pb_nc_62.0,"Pb - non combustion - Refined copper; unwrought, not alloyed",E_Pb_nc_62.0,kg
Pb_nc_63.0,"Pb - non combustion - Refined lead, unwrought",E_Pb_nc_63.0,kg
Pb_nc_69.1,Pb - non combustion - Steel production: basic oxygen furnace,E_Pb_nc_69.1,kg
Pb_nc_69.2,Pb - non combustion - Steel production: electric arc furnace,E_Pb_nc_69.2,kg
Pb_nc_69.3,Pb - non combustion - Steel production: open hearth furnace,E_Pb_nc_69.3,kg
Pb_nc_74.0,Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_Pb_nc_74.0,kg
Pb_nc_78.0,"Pb - non combustion - Zinc, unwrought, not alloyed",E_Pb_nc_78.0,kg
SOx_nc_1.2,SOx - non combustion - Agglomeration plant - sinter,E_SOx_nc_1.2,kg
SOx_nc_4.0,SOx - non combustion - Bricks production,E_SOx_nc_4.0,kg
SOx_nc_8.0,SOx - non combustion - Cement production,E_SOx_nc_8.0,kg
SOx_nc_9.1,"SOx - non combustion - Chemical wood pulp, dissolving grades",E_SOx_nc_9.1,kg
SOx_nc_9.2,"SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades",E_SOx_nc_9.2,kg
SOx_nc_9.3,"SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades",E_SOx_nc_9.3,kg
SOx_nc_26.0,SOx - non combustion - Glass production,E_SOx_nc_26.0,kg
SOx_nc_34.0,SOx - non combustion - Lime production,E_SOx_nc_34.0,kg
SOx_nc_45.0,"SOx - non combustion - Nickel, unwrought",E_SOx_nc_45.0,kg
SOx_nc_46.0,SOx - non combustion - Oil refinery,E_SOx_nc_46.0,kg
SOx_nc_50.0,"SOx - non combustion - Pig iron production, blast furnace",E_SOx_nc_50.0,kg
SOx_nc_58.0,SOx - non combustion - Production of coke oven coke,E_SOx_nc_58.0,kg
SOx_nc_59.0,SOx - non combustion - Production of gascoke,E_SOx_nc_59.0,kg
SOx_nc_62.0,"SOx - non combustion - Refined copper; unwrought, not alloyed",E_SOx_nc_62.0,kg
SOx_nc_63.0,"SOx - non combustion - Refined lead, unwrought",E_SOx_nc_63.0,kg
SOx_nc_66.0,"SOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood",E_SOx_nc_66.0,kg
SOx_nc_70.0,SOx - non combustion - Sulphuric acid production,E_SOx_nc_70.0,kg
SOx_nc_74.0,SOx - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_SOx_nc_74.0,kg
SOx_nc_78.0,"SOx - non combustion - Zinc, unwrought, not alloyed",E_SOx_nc_78.0,kg
Se_nc_1.1,Se - non combustion - Agglomeration plant - pellets,E_Se_nc_1.1,kg
Se_nc_1.2,Se - non combustion - Agglomeration plant - sinter,E_Se_nc_1.2,kg
Se_nc_26.0,Se - non combustion - Glass production,E_Se_nc_26.0,kg
Se_nc_69.1,Se - non combustion - Steel production: basic oxygen furnace,E_Se_nc_69.1,kg
TSP_nc_1.1,TSP - non combustion - Agglomeration plant - pellets,E_TSP_nc_1.1,kg
TSP_nc_1.2,TSP - non combustion - Agglomeration plant - sinter,E_TSP_nc_1.2,kg
TSP_nc_2.0,TSP - non combustion - Aluminium ores and concentrates (Bauxite),E_TSP_nc_2.0,kg
TSP_nc_4.0,TSP - non combustion - Bricks production,E_TSP_nc_4.0,kg
TSP_nc_5.0,TSP - non combustion - Briquettes production,E_TSP_nc_5.0,kg
TSP_nc_6.0,TSP - non combustion - Carbon black production,E_TSP_nc_6.0,kg
TSP_nc_7.0,TSP - non combustion - Cast iron production (grey iron foundries),E_TSP_nc_7.0,kg
TSP_nc_8.0,TSP - non combustion - Cement production,E_TSP_nc_8.0,kg
TSP_nc_9.1,"TSP - non combustion - Chemical wood pulp, dissolving grades",E_TSP_nc_9.1,kg
TSP_nc_9.2,"TSP - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades",E_TSP_nc_9.2,kg
TSP_nc_9.3,"TSP - non combustion - Chemical wood pulp, sulphite, other than dissolving grades",E_TSP_nc_9.3,kg
TSP_nc_10.0,TSP - non combustion - Chromium ores and concentrates,E_TSP_nc_10.0,kg
TSP_nc_12.0,TSP - non combustion - Copper ores and concentrates,E_TSP_nc_12.0,kg
TSP_nc_22.0,TSP - non combustion - Fertilizer production (N-fertilizer),E_TSP_nc_22.0,kg
TSP_nc_26.0,TSP - non combustion - Glass production,E_TSP_nc_26.0,kg
TSP_nc_27.0,TSP - non combustion - Gold ores and concentrates,E_TSP_nc_27.0,kg
TSP_nc_31.0,TSP - non combustion - Iron ores and concentrates,E_TSP_nc_31.0,kg
TSP_nc_32.0,TSP - non combustion - Lead ores and concentrates,E_TSP_nc_32.0,kg
TSP_nc_34.0,TSP - non combustion - Lime production,E_TSP_nc_34.0,kg
TSP_nc_36.0,TSP - non combustion - Mining of antracite,E_TSP_nc_36.0,kg
TSP_nc_37.0,TSP - non combustion - Mining of bituminous coal,E_TSP_nc_37.0,kg
TSP_nc_38.0,TSP - non combustion - Mining of coking coal,E_TSP_nc_38.0,kg
TSP_nc_39.0,TSP - non combustion - Mining of lignite (brown coal),E_TSP_nc_39.0,kg
TSP_nc_40.0,TSP - non combustion - Mining of sub-bituminous coal,E_TSP_nc_40.0,kg
TSP_nc_41.0,TSP - non combustion - Molybdenum ores and concentrates,E_TSP_nc_41.0,kg
TSP_nc_43.0,TSP - non combustion - N- fertilizer production,E_TSP_nc_43.0,kg
TSP_nc_44.0,TSP - non combustion - Nickel ores and concentrates,E_TSP_nc_44.0,kg
TSP_nc_45.0,"TSP - non combustion - Nickel, unwrought",E_TSP_nc_45.0,kg
TSP_nc_46.0,TSP - non combustion - Oil refinery,E_TSP_nc_46.0,kg
TSP_nc_50.0,"TSP - non combustion - Pig iron production, blast furnace",E_TSP_nc_50.0,kg
TSP_nc_51.0,TSP - non combustion - Platinum ores and concentrates,E_TSP_nc_51.0,kg
TSP_nc_56.0,TSP - non combustion - Primary aluminium production,E_TSP_nc_56.0,kg
TSP_nc_58.0,TSP - non combustion - Production of coke oven coke,E_TSP_nc_58.0,kg
TSP_nc_59.0,TSP - non combustion - Production of gascoke,E_TSP_nc_59.0,kg
TSP_nc_62.0,"TSP - non combustion - Refined copper; unwrought, not alloyed",E_TSP_nc_62.0,kg
TSP_nc_63.0,"TSP - non combustion - Refined lead, unwrought",E_TSP_nc_63.0,kg
TSP_nc_66.0,"TSP - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood",E_TSP_nc_66.0,kg
TSP_nc_67.0,TSP - non combustion - Silver ores and concentrates,E_TSP_nc_67.0,kg
TSP_nc_69.1,TSP - non combustion - Steel production: basic oxygen furnace,E_TSP_nc_69.1,kg
TSP_nc_69.2,TSP - non combustion - Steel production: electric arc furnace,E_TSP_nc_69.2,kg
TSP_nc_69.3,TSP - non combustion - Steel production: open hearth furnace,E_TSP_nc_69.3,kg
TSP_nc_72.0,TSP - non combustion - Tin ores and concentrates,E_TSP_nc_72.0,kg
TSP_nc_74.0,TSP - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_TSP_nc_74.0,kg
TSP_nc_77.0,TSP - non combustion - Zinc ores and concentrates,E_TSP_nc_77.0,kg
TSP_nc_78.0,"TSP - non combustion - Zinc, unwrought, not alloyed",E_TSP_nc_78.0,kg
Zn_nc_1.1,Zn - non combustion - Agglomeration plant - pellets,E_Zn_nc_1.1,kg
Zn_nc_1.2,Zn - non combustion - Agglomeration plant - sinter,E_Zn_nc_1.2,kg
Zn_nc_26.0,Zn - non combustion - Glass production,E_Zn_nc_26.0,kg
Zn_nc_45.0,"Zn - non combustion - Nickel, unwrought",E_Zn_nc_45.0,kg
Zn_nc_50.0,"Zn - non combustion - Pig iron production, blast furnace",E_Zn_nc_50.0,kg
Zn_nc_62.0,"Zn - non combustion - Refined copper; unwrought, not alloyed",E_Zn_nc_62.0,kg
Zn_nc_63.0,"Zn - non combustion - Refined lead, unwrought",E_Zn_nc_63.0,kg
Zn_nc_69.1,Zn - non combustion - Steel production: basic oxygen furnace,E_Zn_nc_69.1,kg
Zn_nc_69.2,Zn - non combustion - Steel production: electric arc furnace,E_Zn_nc_69.2,kg
Zn_nc_69.3,Zn - non combustion - Steel production: open hearth furnace,E_Zn_nc_69.3,kg
Zn_nc_74.0,Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_Zn_nc_74.0,kg
Zn_nc_78.0,"Zn - non combustion - Zinc, unwrought, not alloyed",E_Zn_nc_78.0,kg
2551-62-4,SF6,E_SF6,kg
HFC,HFC,E_HFC,kg CO2-eq
PFC,PFC,E_PFC,kg CO2-eq
124-38-9p,CO2 - peat decay - Agriculture,E_CO2_p,kg
CH4_01,CH4 - Agriculture,E_CH4_01,kg
NOx_01,NOx - Agriculture,E_NOx_01,kg
NH3_01,NH3 - Agriculture,E_NH3_01,kg
N2O_01,N2O - Agriculture,E_N2O_01,kg
N_01,Nitrogen - Agriculture,E_N_01,kg
N_2,Nitrogen - Waste,E_N_2,kg
P_01,Phosphorus - Agriculture,E_P_01,kg
P_2,Phosphorus - Waste,E_P_2,kg
P_01,Phosphorus - Agriculture,E_P_01,kg
necw,Emissions nec - Waste,E_necw,kg
